item_id,timestamp,target
0,1996-03-18,13.407029
0,1996-03-19,14.725057
0,1996-03-20,20.564058
0,1996-03-21,34.70805
0,1996-03-22,26.629818
0,1996-03-23,16.609978
0,1996-03-24,15.320294
0,1996-03-25,11.607142
0,1996-03-26,19.883787
0,1996-03-27,23.767006
0,1996-03-28,34.02778
0,1996-03-29,33.78685
0,1996-03-30,18.25397
0,1996-03-31,19.387754
0,1996-04-01,17.261906
0,1996-04-02,23.809525
0,1996-04-03,36.125282
0,1996-04-04,33.602608
0,1996-04-05,32.624718
0,1996-04-06,7.482993
0,1996-04-07,14.393128
0,1996-04-08,10.13322
0,1996-04-09,17.913832
0,1996-04-10,22.123016
0,1996-04-11,33.234127
0,1996-04-12,33.092403
0,1996-04-13,20.011337
0,1996-04-14,17.134354
0,1996-04-15,14.172336
0,1996-04-16,18.764172
0,1996-04-17,19.770409
0,1996-04-18,35.48753
0,1996-04-19,33.276646
0,1996-04-20,16.907597
0,1996-04-21,9.311225
0,1996-04-22,3.2029479
0,1996-04-23,22.349773
0,1996-04-24,18.140589
0,1996-04-25,24.532312
0,1996-04-26,7.397959
0,1996-04-27,12.07483
0,1996-04-28,12.627551
0,1996-04-29,11.720522
0,1996-04-30,22.661564
0,1996-05-01,22.505669
0,1996-05-02,34.254536
0,1996-05-03,32.63889
0,1996-05-04,12.07483
0,1996-05-05,49.050453
0,1996-05-06,16.62415
0,1996-05-07,20.493196
0,1996-05-08,22.945011
0,1996-05-09,32.780613
0,1996-05-10,6.9160995
0,1996-05-11,12.07483
0,1996-05-12,34.46712
0,1996-05-13,15.0226755
0,1996-05-14,19.47279
0,1996-05-15,22.548185
0,1996-05-16,35.37415
0,1996-05-17,28.358843
0,1996-05-18,18.849207
0,1996-05-19,15.334467
0,1996-05-20,13.265306
0,1996-05-21,17.942177
0,1996-05-22,23.469387
0,1996-05-23,12.145692
0,1996-05-24,21.060091
0,1996-05-25,15.873015
0,1996-05-26,17.134354
0,1996-05-27,17.71542
0,1996-05-28,20.564058
0,1996-05-29,26.530613
0,1996-05-30,34.112812
0,1996-05-31,28.727324
0,1996-06-01,19.501133
0,1996-06-02,17.106009
0,1996-06-03,16.425737
0,1996-06-04,19.444445
0,1996-06-05,23.48356
0,1996-06-06,36.1678
0,1996-06-07,28.741497
0,1996-06-08,19.628685
0,1996-06-09,19.23186
0,1996-06-10,12.74093
0,1996-06-11,19.78458
0,1996-06-12,24.57483
0,1996-06-13,36.564625
